

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 
| 1           | 00:05      | 00:15                 | 00:27          | 10               | 9                | 22             | Phum Bucket          | (0, 4) 
| 2           | 00:10      | 00:30                 | 00:40          | 20               | 9                | 30             | Crusty Crab          | (1, 0) 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 
| 1           | 00:05      | 00:15                 | 00:27          | 10               | 9                | 22             | Phum Bucket          | (0, 4) 
| 2           | 00:10      | 00:30                 | 00:40          | 20               | 9                | 30             | Crusty Crab          | (1, 0) 
| 3           | 00:21      | 00:41                 | 01:01          | 20               | 9                | 40             | Crusty Crab          | (1, 0) 
| 4           | 01:31      | 01:51                 | 01:58          | 20               | 4                | 27             | Phum Bucket          | (0, 4) 
| 5           | 01:39      | 01:59                 | 02:02          | 20               | 1                | 23             | Crusty Crab          | (1, 0) 
| 6           | 01:44      | 02:04                 | 02:22          | 20               | 1                | 38             | Crusty Crab          | (1, 0) 
| 13          | 02:19      | 02:39                 | 02:46          | 20               | 4                | 27             | Phum Bucket          | (0, 4) 
| 7           | 01:49      | 02:09                 | 02:49          | 20               | 1                | 60             | Crusty Crab          | (1, 0) 
| 8           | 01:54      | 02:14                 | 03:02          | 20               | 1                | 68             | Crusty Crab          | (1, 0) 
| 9           | 02:00      | 02:20                 | 03:22          | 20               | 1                | 82             | Crusty Crab          | (1, 0) 
| 10          | 02:06      | 02:26                 | 03:42          | 20               | 1                | 96             | Crusty Crab          | (1, 0) 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 
| 1           | 00:05      | 00:15                 | 00:27          | 10               | 9                | 22             | Phum Bucket          | (0, 4) 
| 2           | 00:10      | 00:30                 | 00:40          | 20               | 9                | 30             | Crusty Crab          | (1, 0) 
| 3           | 00:21      | 00:41                 | 01:01          | 20               | 9                | 40             | Crusty Crab          | (1, 0) 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

| Customer ID | Order Time | Finished Cooking Time | Delivered Time | Cooking Duration | Deliver Duration | Total Duration | Restaurant           | Branch 

